LandisData PnETSpeciesParameters
PnETSpeciesParameters	KWdLit	FolLignin	H3	H4		FolN	SLWmax	SLWDel	TOfol	AmaxA	AmaxB	HalfSat		PsnTMin		PsnTOpt		k		FracBelowG	FracFol	FrActWd  	<<old:FracBelowG
abiebals				0.125	0.25		105	145		1		215		0		0.25	5.3		21.5	356			2			19			0.5		0.3			0.10	0.00002     <<0.25
acerrubr				0.081	.11			111	152		2.6		80		0.2		1		-46		71.9	437			4			26			0.58	0.3			0.03	0.00004     <<0.33
acersacc				0.075	0.11		105	145		2.1		70		0.2		1		-46		71.9	275			2			23			0.58	0.4			0.03	0.00004     <<0.33
betualle				0.075	0.11		105	145		2.2		80		0.2		1		-46		71.9	356			3			21			0.58	0.4			0.03	0.00004     <<0.33
betulent				0.149	.15			105	145		2.26	80		0.2		1		-46		71.9	519			3			21			0.58	0.4			0.03	0.00004     <<0.33
betupapy				0.075	0.11		105	145		2.3		80		0.2		1		-46		71.9	519			3			21			0.58	0.3			0.03	0.00004     <<0.25
betupopu				0.075	0.11		105	145		2.26	80		0.2		1		-46		71.9	519			3			21			0.58	0.4			0.03	0.00004     <<0.33
caryglab				0.166	.17			111	152		2.6		90		0.2		1		-46		71.9	519			2			23			0.58	0.4			0.03	0.00004     <<0.33
fagugran				0.075	0.24		111	152		1.8		80		0.2		1		-46		71.9	275			2			23			0.58	0.4			0.03	0.00004     <<0.33
fraxamer				0.075	0.12		111	152		2.5		85		0.2		1		-46		71.9	437			3			25			0.58	0.4			0.03	0.00004     <<0.33
fraxnigr				0.075	0.12		111	152		2.7		85		0.2		1		-46		71.9	519			3			23			0.58	0.4			0.03	0.00004     <<0.33
larilari				0.125	0.25		118	160		2.3		110		0		1		5.3		21.5	600			1			20			0.58	0.4			0.12	0.00004     <<0.33
ostrvirg				0.075	0.12		111	152		2.02	100		0.2		1		-46		71.9	250			3			23			0.58	0.4			0.03	0.00004     <<0.33
piceglau				0.125	0.25		118	160		1		250		0		0.25	5.3		21.5	437			2			20			0.5		0.3			0.1		0.00002     <<0.33
picemari				0.125	0.25		118	160		1		250		0		0.25	5.3		21.5	437			2			20			0.5		0.3			0.1		0.00002     <<0.33
picerube				0.125	0.25		118	160		1	 	250		0		0.25 	5.3		21.5 	437			2			20			0.5		0.3			0.08	0.00002     <<0.33
pinuresi				0.125	0.25		118	160		1.7		250		0		0.3333	5.3		21.5	519			3			21			0.5		0.4			0.12	0.00005     <<0.33
pinurigi				0.063	0.25		118	160		2.3		250		0		0.3333	5.3		21.5	437			3			21			0.5		0.4			0.12	0.00005     <<0.33
pinustro				0.125	0.25		118	160		2.0		235		0		0.5		5.3		21.5	437			3			21			0.5		0.4			0.12	0.00004     <<0.33
pinutaed				0.125	0.25		118	160		1.3		250		0		0.3333	5.3		21.5	519			5			30			0.5		0.4			0.12	0.00005     <<0.33
popubals				0.107	0.16		100	140		2.4		115		0.2		1		-46		71.9	600			0			21			0.58	0.3			0.03	0.00004     <<0.25
popugran				0.107	0.16		100	140		2.5		115		0.2		1		-46		71.9	600			2			22			0.58	0.3			0.03	0.00004     <<0.25
poputrem				0.107	0.16		100	140		2.5		115		0.2		1		-46		71.9	600			2			22			0.58	0.3			0.03	0.00004     <<0.25
prunsero				0.125	0.25		111	152		2.8		90		0.2		1		-46		71.9	519			3			25     		0.58	0.4			0.03	0.00004     <<0.33                                                                                                                        
queralba				0.063	0.18		118	160		2.5		100		0.2		1		-46		71.9	519			2			26			0.58	0.4			0.03	0.00004     <<0.33
quercocc				0.05	0.17		118	160		2.0		95		0.2		1		-46		71.9	519			2			26			0.58	0.4			0.03	0.00004     <<0.33
querprin				0.17	0.26		111	152		2.39	90		0.2		1		-46		71.9	437			2			26			0.58	0.4			0.03	0.00004     <<0.33
querrubr				0.075	0.17		111	152		2.5		85		0.2		1		-46		71.9	437			2			24			0.58	0.4			0.03	0.00004     <<0.33
quervelu				0.170	0.26		111	152		2.7		85		0.2		1		-46		71.9	437			2			24			0.58	0.4			0.03	0.00004     <<0.33
thujocci				0.125	0.25		105	145		1.3		245		0		0.5		5.3		21.5	437			3			20			0.5		0.4			0.13	0.00005     <<0.33
tiliamer				0.075	0.12		111	152		2.6		75		0.2		1		-46		71.9	356			3			23			0.58	0.4			0.03	0.00004     <<0.33
tsugcana				0.024	0.25		105	145		1.1		195		0		0.3333	5.3		21.5	230			3			21			0.5		0.3			0.08	0.00005     <<0.33
ulmuamer				0.075	0.12		105 145		2.3		85		0.2		1		-46		71.9	437			3			23			0.58	0.4			0.03	0.00004     <<0.33

>>KWdLit default=0.1.  Use values from Mattson 1987 Decomposition of woody debris in a regenerating, clear-cut forest in the Southern Appalachians when available.  Otherwise: 0.075 for hardwoods and 0.125 for softwoods
>>FolLignin default = 0.02; Range in Aber and Mellilo (1982 Can J Bot 60:2267) = 0-0.25




































































































